Edad;Sexo;Renta anual neta media por persona y por unidad de consumo;Periodo;Total
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2016;9.019
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2015;8.910
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2014;8.755
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2013;8.761
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2012;9.039
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2011;9.198
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2010;9.195
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2009;9.126
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2008;8.811
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2025;22.192
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2024;20.987
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2023;20.634
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2022;20.000
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2021;18.731
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2020;18.583
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2019;17.986
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2018;18.047
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2017;16.981
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2016;16.306
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2015;16.054
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2014;15.761
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2013;15.767
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2012;16.367
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2011;16.592
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2010;16.565
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2009;16.527
Menores de 16 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2008;15.881
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2025;14.075
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2024;13.463
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2023;12.822
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2022;11.660
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2021;10.903
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2020;11.031
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2019;10.345
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2018;10.156
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2017;9.815
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2016;9.373
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2015;8.935
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2014;9.004
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2013;9.438
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2012;9.727
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2011;10.032
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2010;10.651
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2009;10.797
De 16 a 29 años;Ambos sexos;Renta neta media por persona;2008;10.321
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2025;21.779
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2024;20.853
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2023;19.735
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2022;18.019
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2021;16.828
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2020;16.967
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2019;15.907
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2018;15.514
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2017;15.043
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2016;14.413
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2015;13.782
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2014;13.829
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2013;14.438
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2012;14.896
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2011;15.418
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2010;16.306
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2009;16.625
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo;2008;15.918
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2025;15.633
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2024;14.922
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2023;14.328
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2022;13.156
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2021;12.353
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2020;12.435
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2019;11.666
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2018;11.487
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2017;11.129
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2016;10.583
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2015;10.091
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2014;10.159
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2013;10.512
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2012;10.843
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2011;11.256
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2010;11.878
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2009;11.873
De 16 a 29 años;Ambos sexos;Renta media por persona (con alquiler imputado);2008;11.390
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2025;24.145
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2024;23.070
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2023;22.006
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2022;20.294
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2021;19.020
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2020;19.090
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2019;17.897
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2018;17.519
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2017;17.023
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2016;16.256
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2015;15.545
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2014;15.584
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2013;16.051
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2012;16.561
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2011;17.246
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2010;18.140
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2009;18.248
De 16 a 29 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2008;17.548
De 16 a 29 años;Hombres;Renta neta media por persona;2025;14.237
De 16 a 29 años;Hombres;Renta neta media por persona;2024;13.720
De 16 a 29 años;Hombres;Renta neta media por persona;2023;12.855
De 16 a 29 años;Hombres;Renta neta media por persona;2022;11.825
De 16 a 29 años;Hombres;Renta neta media por persona;2021;10.967
De 16 a 29 años;Hombres;Renta neta media por persona;2020;10.897
De 16 a 29 años;Hombres;Renta neta media por persona;2019;10.267
De 16 a 29 años;Hombres;Renta neta media por persona;2018;10.510
De 16 a 29 años;Hombres;Renta neta media por persona;2017;9.813
De 16 a 29 años;Hombres;Renta neta media por persona;2016;9.341
De 16 a 29 años;Hombres;Renta neta media por persona;2015;8.908
De 16 a 29 años;Hombres;Renta neta media por persona;2014;8.971
De 16 a 29 años;Hombres;Renta neta media por persona;2013;9.472
De 16 a 29 años;Hombres;Renta neta media por persona;2012;9.916
De 16 a 29 años;Hombres;Renta neta media por persona;2011;10.333
De 16 a 29 años;Hombres;Renta neta media por persona;2010;10.972
De 16 a 29 años;Hombres;Renta neta media por persona;2009;11.181
De 16 a 29 años;Hombres;Renta neta media por persona;2008;10.534
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2025;22.020
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2024;21.204
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2023;19.772
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2022;18.281
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2021;16.925
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2020;16.792
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2019;15.722
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2018;16.061
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2017;14.974
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2016;14.391
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2015;13.672
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2014;13.806
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2013;14.448
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2012;15.087
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2011;15.844
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2010;16.720
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2009;17.151
De 16 a 29 años;Hombres;Renta media por unidad de consumo;2008;16.198
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2025;15.810
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2024;15.217
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2023;14.364
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2022;13.336
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2021;12.395
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2020;12.288
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2019;11.629
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2018;11.881
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2017;11.159
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2016;10.543
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2015;10.090
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2014;10.154
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2013;10.610
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2012;11.055
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2011;11.577
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2010;12.227
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2009;12.285
De 16 a 29 años;Hombres;Renta media por persona (con alquiler imputado);2008;11.611
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2025;24.407
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2024;23.467
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2023;22.051
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2022;20.574
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2021;19.090
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2020;18.884
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2019;17.745
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2018;18.108
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2017;16.979
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2016;16.230
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2015;15.465
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2014;15.597
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2013;16.133
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2012;16.773
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2011;17.690
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2010;18.584
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2009;18.815
De 16 a 29 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2008;17.827
De 16 a 29 años;Mujeres;Renta neta media por persona;2025;13.902
De 16 a 29 años;Mujeres;Renta neta media por persona;2024;13.187
De 16 a 29 años;Mujeres;Renta neta media por persona;2023;12.787
De 16 a 29 años;Mujeres;Renta neta media por persona;2022;11.487
De 16 a 29 años;Mujeres;Renta neta media por persona;2021;10.836
De 16 a 29 años;Mujeres;Renta neta media por persona;2020;11.170
De 16 a 29 años;Mujeres;Renta neta media por persona;2019;10.426
De 16 a 29 años;Mujeres;Renta neta media por persona;2018;9.785
De 16 a 29 años;Mujeres;Renta neta media por persona;2017;9.818
De 16 a 29 años;Mujeres;Renta neta media por persona;2016;9.406
De 16 a 29 años;Mujeres;Renta neta media por persona;2015;8.963
De 16 a 29 años;Mujeres;Renta neta media por persona;2014;9.037
De 16 a 29 años;Mujeres;Renta neta media por persona;2013;9.403
De 16 a 29 años;Mujeres;Renta neta media por persona;2012;9.528
De 16 a 29 años;Mujeres;Renta neta media por persona;2011;9.715
De 16 a 29 años;Mujeres;Renta neta media por persona;2010;10.322
De 16 a 29 años;Mujeres;Renta neta media por persona;2009;10.394
De 16 a 29 años;Mujeres;Renta neta media por persona;2008;10.090
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2025;21.524
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2024;20.474
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2023;19.696
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2022;17.744
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2021;16.728
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2020;17.150
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2019;16.097
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2018;14.940
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2017;15.114
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2016;14.437
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2015;13.895
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2014;13.853
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2013;14.428
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2012;14.695
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2011;14.972
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2010;15.881
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2009;16.071
De 16 a 29 años;Mujeres;Renta media por unidad de consumo;2008;15.614
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2025;15.443
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2024;14.604
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2023;14.289
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2022;12.968
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2021;12.309
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2020;12.587
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2019;11.705
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2018;11.074
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2017;11.097
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2016;10.623
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2015;10.093
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2014;10.164
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2013;10.412
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2012;10.619
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2011;10.919
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2010;11.520
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2009;11.441
De 16 a 29 años;Mujeres;Renta media por persona (con alquiler imputado);2008;11.152
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2025;23.865
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2024;22.642
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2023;21.959
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2022;20.001
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2021;18.947
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2020;19.305
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2019;18.054
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2018;16.901
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2017;17.070
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2016;16.282
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2015;15.627
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2014;15.570
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2013;15.966
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2012;16.338
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2011;16.780
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2010;17.684
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2009;17.652
De 16 a 29 años;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2008;17.245
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2025;15.730
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2024;14.907
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2023;14.078
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2022;12.974
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2021;12.012
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2020;12.053
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2019;11.422
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2018;11.397
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2017;11.040
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2016;10.536
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2015;10.353
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2014;10.348
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2013;10.543
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2012;10.912
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2011;11.106
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2010;11.480
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2009;11.687
De 30 a 44 años;Ambos sexos;Renta neta media por persona;2008;11.024
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2025;23.157
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2024;21.913
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2023;20.876
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2022;19.343
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2021;17.994
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2020;18.080
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2019;17.268
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2018;17.334
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2017;16.697
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2016;15.886
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2015;15.534
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2014;15.641
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2013;15.873
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2012;16.468
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2011;16.795
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2010;17.352
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2009;17.690
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo;2008;16.673
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2025;17.537
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2024;16.576
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2023;15.782
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2022;14.732
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2021;13.691
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2020;13.702
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2019;12.985
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2018;12.890
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2017;12.507
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2016;11.873
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2015;11.663
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2014;11.644
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2013;11.747
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2012;12.178
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2011;12.498
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2010;12.888
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2009;12.866
De 30 a 44 años;Ambos sexos;Renta media por persona (con alquiler imputado);2008;12.250
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2025;25.724
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2024;24.278
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2023;23.300
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2022;21.873
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2021;20.416
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2020;20.462
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2019;19.550
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2018;19.533
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2017;18.831
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2016;17.838
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2015;17.435
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2014;17.537
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2013;17.630
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2012;18.298
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2011;18.838
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2010;19.407
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2009;19.431
De 30 a 44 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2008;18.493
De 30 a 44 años;Hombres;Renta neta media por persona;2025;16.384
De 30 a 44 años;Hombres;Renta neta media por persona;2024;15.580
De 30 a 44 años;Hombres;Renta neta media por persona;2023;14.780
De 30 a 44 años;Hombres;Renta neta media por persona;2022;13.538
De 30 a 44 años;Hombres;Renta neta media por persona;2021;12.333
De 30 a 44 años;Hombres;Renta neta media por persona;2020;12.726
De 30 a 44 años;Hombres;Renta neta media por persona;2019;11.908
De 30 a 44 años;Hombres;Renta neta media por persona;2018;11.833
De 30 a 44 años;Hombres;Renta neta media por persona;2017;11.327
De 30 a 44 años;Hombres;Renta neta media por persona;2016;10.868
De 30 a 44 años;Hombres;Renta neta media por persona;2015;10.658
De 30 a 44 años;Hombres;Renta neta media por persona;2014;10.662
De 30 a 44 años;Hombres;Renta neta media por persona;2013;10.810
De 30 a 44 años;Hombres;Renta neta media por persona;2012;11.276
De 30 a 44 años;Hombres;Renta neta media por persona;2011;11.370
De 30 a 44 años;Hombres;Renta neta media por persona;2010;11.691
De 30 a 44 años;Hombres;Renta neta media por persona;2009;12.141
De 30 a 44 años;Hombres;Renta neta media por persona;2008;11.489
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2025;23.624
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2024;22.374
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2023;21.415
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2022;19.697
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2021;18.136
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2020;18.664
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2019;17.601
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2018;17.612
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2017;16.832
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2016;16.039
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2015;15.681
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2014;15.779
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2013;15.982
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2012;16.696
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2011;16.916
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2010;17.417
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2009;18.006
De 30 a 44 años;Hombres;Renta media por unidad de consumo;2008;17.003
De 30 a 44 años;Hombres;Renta media por persona (con alquiler imputado);2025;18.307
De 30 a 44 años;Hombres;Renta media por persona (con alquiler imputado);2024;17.358
De 30 a 44 años;Hombres;Renta media por persona (con alquiler imputado);2023;16.586
De 30 a 44 años;Hombres;Renta media por persona (con alquiler imputado);2022;15.380
De 30 a 44 años;Hombres;Renta media por persona (con alquiler imputado);2021;14.088
De 30 a 44 años;Hombres;Renta media por persona (con alquiler imputado);2020;14.477
De 30 a 44 años;Hombres;Renta media por persona (con alquiler imputado);2019;13.548
